hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,6,167.23,163.17
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,7,166.29,162.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,8,166.45,162.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,9,163.46,160.95
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,10,164.74,163.11
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,11,163.35,162.10
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,12,158.99,160.08
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,1,157.28,159.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,2,156.11,158.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,3,153.65,155.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,4,156.03,155.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,5,159.38,156.11
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,6,161.15,157.02
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,7,162.67,158.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,8,160.26,156.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,9,159.89,157.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,10,157.49,155.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,11,159.54,158.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,12,156.44,157.63
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,1,154.11,156.68
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,2,154.36,156.74
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,3,156.39,157.81
